country,pop_2013,pop_var,gdp_2013,edb_2019,food_kcal_cap_day,prot_g_cap_day,prot_ani_ratio,poultry_food_kg_cap_y,poultry_import_ratio,clust
Kyrgyzstan,5.547999999999999,106.75389647873773,1290.514,68.33,2817.0,85.13000000000002,41.14883119934217,2.3431867339581838,89.47368421052632,5
Kenya,44.354,114.39403708766407,1229.191812,70.31,2205.0,61.87,25.699046387586865,0.4734634982188754,0.0,5
Cambodia,15.135,108.56466537551107,1028.41917,54.8,2473.0,65.66,29.119707584526353,1.850016518004625,3.571428571428571,5
Republic of Korea,49.263000000000005,102.91426422662322,26024.012111,84.14,3333.0,96.11999999999998,47.99209321681232,15.995777764244973,16.624365482233504,2
Kuwait,3.3689999999999998,124.68541820873428,48401.609794,62.2,3499.0,108.14999999999998,49.533055940822926,53.725140991392095,76.79558011049724,3
Latvia,2.05,95.88400374181477,14852.354556,79.59,3172.0,91.34,55.79154806218524,20.48780487804878,69.04761904761905,2
Lao People's Democratic Republic,6.77,110.27854699462452,1838.80602,51.26,2455.0,68.89000000000001,21.164174771374654,4.13589364844904,0.0,5
Lebanon,4.822,115.19350215002387,8721.248317,54.04,3059.0,79.59,36.83879884407589,20.32351721277478,17.346938775510207,5
Lesotho,2.074,105.17241379310344,1196.021459,60.6,2528.0,73.47999999999998,17.392487751769195,10.12536162005786,80.95238095238095,5
Liberia,4.294,116.90716035937923,451.67255300000005,43.51,2206.0,37.66000000000001,21.614445034519385,8.849557522123892,65.78947368421053,5
Lithuania,3.017,95.99109131403118,15483.230059,80.83,3414.0,124.36,61.50691540688326,26.847862114683466,40.74074074074074,2
Madagascar,22.925,115.04491393586589,567.600449,48.89,2056.0,46.68999999999999,21.482116084814734,3.1406761177753544,0.0,5
Malawi,16.363,115.73772810864338,314.708244,59.59,2364.0,64.53,12.07190454052379,1.4056102181751513,0.0,5
Malaysia,29.717,108.84550582374916,10882.259575,80.6,2914.0,81.57,55.657717298026235,41.02029141568799,3.1821259309410967,2
Maldives,0.345,109.87261146496814,7033.632215000001,54.43,2733.0,122.32,70.28286461739701,17.391304347826086,100.0,5
Mali,15.302,116.4713046125742,803.855017,53.5,2887.0,85.13000000000002,27.82802772230706,3.0714939223630897,6.382978723404255,5
Malta,0.429,101.90023752969122,23972.962882,65.43,3374.0,110.31,55.969540386184384,25.64102564102564,69.23076923076923,2
Mauritania,3.89,113.64300321355536,1429.364884,51.99,2875.0,84.94,39.875206027784316,5.6555269922879186,77.27272727272727,5
Mauritius,1.244,101.71708912510219,9662.833893,79.58,3067.0,88.2,45.124716553287975,38.585209003215425,4.081632653061225,2
Mexico,122.33200000000001,106.4052605942523,10400.569944,72.09,3068.0,87.57999999999998,46.426124686001366,30.122944119281954,23.039348710990506,2
Mongolia,2.839,107.82377516141285,4385.379363,67.74,2509.0,80.80000000000003,60.04950495049504,3.1701303275801336,88.8888888888889,5
Morocco,33.008,106.63220804393477,3158.206345,71.02,3402.0,97.88,27.217000408663672,20.782840523509453,0.5830903790087464,5
Mozambique,25.834,113.49119184641742,605.9858849999998,55.53,2282.0,45.68000000000002,13.87915936952714,1.393512425485794,27.777777777777782,5
Republic of Moldova,3.487,95.87572174869398,1961.072076,73.54,2715.0,71.35999999999999,49.38340807174889,18.06710639518211,30.158730158730158,2
Namibia,2.303,109.09521553765987,5490.066308,60.53,2166.0,57.60999999999999,33.935080715153624,12.1580547112462,64.28571428571429,5
Nepal,27.796999999999997,105.89736751876262,651.313871,59.63,2672.0,68.99000000000002,16.596608204087552,1.5469295247688601,0.0,5
Netherlands,16.759,101.54507998061077,51466.478134,76.04,3222.0,111.46,67.97057240265568,23.927441971478014,132.40740740740742,3
Vanuatu,0.253,112.44444444444444,3167.343056,62.87,2833.0,69.69000000000003,41.94288994116803,11.857707509881426,66.66666666666666,5
New Zealand,4.506,105.32959326788219,42232.040825,86.59,3136.0,92.39,59.31377854746185,35.06435863293387,0.6329113924050633,1
Nicaragua,6.08,107.26887791107977,1847.2007260000007,55.64,2638.0,69.53999999999998,30.500431406384816,21.38157894736842,4.615384615384616,5
Niger,17.831,120.98656534129464,416.139942,53.72,2549.0,80.92999999999995,18.18855801309774,1.0655599798104425,10.526315789473683,5
Nigeria,173.615,114.81866038833924,2996.963827,52.89,2700.0,63.76999999999999,15.461815900893841,1.733721164645912,0.3322259136212625,5
Norway,5.043,105.54625366262036,103110.441896,82.95,3483.0,110.73000000000002,59.577350311568686,21.019234582589732,1.8867924528301887,1
Pakistan,182.143,109.06244012262884,1212.181336,55.31,2438.0,65.44999999999999,41.665393430099314,5.007054896427532,0.21929824561403508,5
Panama,3.864,108.75316633830565,11685.979826,66.12,2731.0,79.32000000000002,52.49621785173978,30.797101449275363,9.433962264150944,2
Czechia,10.702,102.78524779101036,19765.238618,76.1,3255.0,87.41000000000004,57.762269763184996,19.06185759671089,49.50980392156863,2
Paraguay,6.8020000000000005,109.07633098139831,4479.905893,59.4,2584.0,70.58,48.41314820062341,6.321670097030285,2.3255813953488373,5
Peru,30.375999999999998,106.11332355201564,6583.118622,68.83,2697.0,74.91999999999999,36.09183128670582,11.719778772715301,2.518277822908205,5
Philippines,98.39399999999999,108.8778479822067,2760.290133,57.68,2568.0,59.90999999999999,41.47888499415791,11.901132182856676,8.454312553373184,5
Poland,38.217,100.07069913589945,13684.131318000002,76.95,3450.0,101.46000000000002,52.51330573625075,27.42235130962661,4.545454545454546,2
Portugal,10.607999999999999,100.35950804162724,21474.211015,76.55,3472.0,110.87,60.69270316586996,30.165912518853695,19.452887537993924,2
Guinea-Bissau,1.704,112.32696110744892,621.940437,42.85,2288.0,44.05,20.204313280363227,1.7605633802816902,33.33333333333333,5
Timor-Leste,1.133,107.90476190476191,4765.745372,41.6,2129.0,57.51000000000001,30.846809250565123,5.29567519858782,100.0,5
Zimbabwe,14.15,110.68523153942428,1011.227398,50.44,2113.0,48.31999999999999,24.337748344370862,4.946996466431095,8.571428571428571,5
Romania,21.699,98.78898247211474,9544.854848,72.3,3359.0,103.0,45.834951456310684,15.392414396976822,26.946107784431142,2
Rwanda,11.777000000000001,115.20101731390001,688.876883,77.88,2224.0,56.78999999999999,9.8256735340729,1.3585802836036345,0.0,5
